Max Temp,Min Temp,Wind Direction,Wind Speed,Sun Hours,Rel. Humidity,Rain Amount,Outcome
16.5,6.7,209,6.5,6.1,75,0,0
17.3,10.4,214,9,11.7,84,0,0
16.1,12.6,223,27,2.4,69,0,0
17.9,13.2,241,28.1,3.3,84,0,0
18.8,11.4,292,15.5,10.1,80,0,0
20.4,13.3,190,13.7,2.9,91,4.2,1
17.1,12.5,210,21.6,5.4,68,0,0
17.1,12.7,221,22.3,7.4,77,0,0
16.5,12.9,254,25.2,1.2,74,0,0
16.8,12.6,281,12.2,1.2,84,0,0
18.2,12.4,240,35.6,1.1,75,0,0
17.4,11.6,229,29.2,7,70,0,0
16.8,11.8,242,23,4.9,80,0,0
18.6,12.7,276,30.6,3.5,80,0,0
18.7,15.6,296,18.4,0.9,79,0,0
23.2,15.3,339,14.8,8.2,90,0.8,1
16.4,10.4,206,19.1,1.7,80,14.4,1
16.9,8.5,319,2.5,7.5,71,0,0
18.9,13.4,243,31,9.4,78,0,0
19.6,10,319,5.8,11.5,81,0,0
21.5,14.5,37,12.2,1.5,80,0,0
17.9,12,152,9.4,0.4,76,8.8,1
19.7,11,230,19.8,3.6,68,0,0
17.4,12,202,13.3,7.3,67,0,0
19.3,8.2,269,10.1,9.2,79,0,0
18.2,10.9,306,7.2,3.5,70,0,0
20.3,12.5,230,24.1,4.2,95,9,1
17.2,9,149,12.6,5.8,58,1,1
18.5,7.2,168,6.5,10,61,0,0
18.8,8.8,236,9.4,13.4,77,0,0
22,12.5,217,18,13.2,71,0,0
20.1,13.3,40,4,10.9,78,0,0
22.6,12.9,285,4.7,8.3,81,0,0
22.5,15.7,232,24.1,10.3,77,0,0
20.4,14.7,217,27.7,4.3,72,0,0
20.2,7.3,148,13,9.5,53,0,0
18.1,7.1,327,8.6,13.6,57,0,0
21.5,12.2,316,14.4,9.6,74,0,0
20,15.3,20,10.4,0,91,5.6,1
18.4,13.1,234,33.5,1.1,70,13.2,1
18,13.2,219,27.4,4.3,76,0,0
17.3,8.8,68,16.6,5.8,84,0.4,1
17.2,14.3,16,20.9,0.2,80,0,0
20.5,14.9,258,24.8,1.1,91,3.2,1
19.8,15,252,29.2,0.5,75,18.2,1
20.1,11.6,221,19.8,7.1,61,0.2,1
20.4,9.6,341,2.9,12.7,60,0,0
22.3,15.2,269,4,10.2,67,0,0
25.6,17.8,287,11.5,8.6,83,0,0
26.8,16.9,18,14.4,5.9,75,0,0
26,18.3,21,9,5.2,85,14.8,1
24.5,14.6,189,9.7,1.3,71,4.4,1
22.8,15.9,58,14.4,7.7,76,0,0
22.6,18.2,52,15.1,0.8,82,0,0
21.8,16.1,53,13,1,70,0,0
21.7,13.1,55,13.7,0.4,59,0,0
22.8,15.9,286,6.8,6.3,74,0,0
24.2,14.7,227,20.2,4.3,66,0,0
21.8,15.4,237,28.1,10.9,61,0,0
22.1,15,297,13.7,10.3,73,0,0
23.3,14.2,217,30.2,5.4,68,0.2,1
19,14.6,220,31.7,5,58,0,0
20,14.8,238,29.2,3.7,65,0,0
20.2,15.9,254,21.2,4.7,94,0,0
20.9,17.3,285,15.8,0,81,0,0
25.3,16.7,244,33.1,7.2,91,5.4,1
20.8,13.9,234,23.4,7.8,59,0.6,1
19.5,14.2,226,18,10.1,70,0,0
20.6,15.4,248,18.7,2.8,69,0,0
23.1,13.4,265,17.6,7.1,77,0,0
20.6,11.8,155,12.2,5.6,67,1,1
19.5,14.8,216,31.7,13.5,68,0,0
21.2,15,225,23.4,10,71,0,0
21.1,15.8,234,25.2,7.1,74,0,0
22.6,16.9,232,31,6.7,74,0,0
24.2,15.4,208,17.3,10.3,66,0.8,1
23,15.8,61,22.7,9.8,77,0.2,1
19.5,14.1,210,22,0.1,68,7.2,1
20.5,13.5,223,6.1,6.3,75,0,0
25.6,16.6,153,8.6,12.1,78,0,0
25.2,14.4,254,6.5,12.6,71,0,0
23.6,16.9,213,27,13.6,71,0,0
22.5,16.3,335,7.6,11.7,77,0,0
25.6,16.1,68,10.8,5.4,65,0,0
26.2,19.3,64,25.6,10.7,75,0,0
19.8,17,41,32,0,90,16.8,1
21.4,17.7,12,9.7,0,89,23.4,1
26.9,17,212,16.2,2.7,82,0,0
23.9,11.9,102,6.8,3.7,63,0,0
21.3,11.5,93,10.1,7.3,57,0,0
21.8,17,56,19.8,6.1,63,0,0
21.3,18.4,25,15.5,2.4,88,0,0
24.6,18.2,212,21.6,0.4,89,37,1
21.6,16.8,248,23.4,8.8,77,0,0
22.6,15.3,116,6.8,3.1,62,0,0
24.1,18.4,178,4.3,8.4,89,0.4,1
23.2,15.7,225,19.8,0.9,68,4.6,1
22,16.4,66,5.4,11.7,77,0,0
23.5,17.1,350,9.4,7.4,68,0,0
25.9,15,40,5,9.8,77,0,0
27.8,20.3,34,13.7,12.7,81,0,0
25.5,19.6,39,29.5,3.2,77,0,0
25.1,16.8,336,11.5,3.4,78,12,1
25.8,17.3,8,2.9,10.5,70,0,0
25.2,17.8,136,7.9,5.6,70,0,0
26.5,17.7,191,7.9,8.7,76,0,0
25.3,15.5,169,6.5,10.3,75,0,0
27.9,16.4,245,4,13.4,81,0,0
29.3,18.1,34,7.6,13.6,76,0,0
28,17.6,78,4.3,13,72,0,0
28.1,21.3,104,6.8,5.5,84,0.2,1
26.7,19.9,115,7.2,0.8,88,21.2,1
27.3,20.5,277,13.7,8.9,84,0,0
25.3,19.8,130,6.1,5.4,76,0,0
26.4,19.1,117,4,10.3,76,0,0
27.2,20.4,38,16.9,8.2,76,1.2,1
26.3,19.1,314,3.6,8.9,75,0,0
27,18,62,8.6,8.6,80,0,0
26.1,19.4,58,18,8.9,59,0,0
25,18.9,63,14.4,1.4,81,0.6,1
24.2,19.4,123,7.9,0.2,94,4.8,1
27.2,20.2,106,9.4,2.4,69,2.6,1
27.4,18.6,51,7.6,5.4,73,0,0
25,19.8,130,4.3,1.5,72,0,0
25.5,19.8,158,7.6,0.8,81,0,0
26.9,18.2,93,4.3,4.4,77,2.8,1
27.4,18.2,199,6.5,2.3,82,0,0
27.2,16.7,122,3.2,11.1,80,0,0
27.4,16.8,99,7.9,9.9,65,0,0
26.3,18.5,72,14,11.8,61,0,0
26.4,20.4,60,18,3.7,75,0,0
25.2,19.4,37,26.3,2.1,83,17.6,1
23.5,20.6,7,20.5,0,83,18,1
26,18.6,314,6.5,3.2,88,12.6,1
26.7,14.1,256,4.7,8.6,70,0,0
25.3,17.3,227,18.7,11.8,70,0,0
24.8,16.3,275,3.6,8.2,89,0,0
26.8,19.2,24,9,7.1,71,0,0
26.8,17.4,147,3.6,10.3,84,0,0
25.6,14.2,59,4,10.8,74,0,0
24.5,15.4,48,1.8,12.2,77,0,0
27.6,18.1,359,6.5,12.1,77,0,0
27.5,21.3,59,2.9,6.5,85,17.8,1
27.9,21.9,319,7.2,2.6,92,1.4,1
22.6,18.4,166,5.4,0,90,24.4,1
22.5,16.8,137,9.7,0,80,0.4,1
24.4,15,141,4,5.2,78,0,0
24.1,14.8,113,5.4,6.7,78,0,0
25.9,14.9,100,1.8,6.4,88,0,0
25.4,14.6,74,1.8,11.5,88,0,0
25,18.7,226,19.8,5.8,77,0,0
24.6,19.3,241,28.1,1.8,75,0,0
25,19,215,21.2,9.6,72,1,1
22.9,13.3,61,2.5,10.3,84,0,0
22.6,17.8,259,26.6,9.8,91,0.4,1
23.3,12.3,127,9.7,4.3,57,0.6,1
22.2,12.5,51,5.8,10.7,69,0,0
24.9,12.7,85,0.7,11.4,81,0,0
23.7,15.2,308,4.3,7.5,84,0,0
25,17.8,295,4.7,5.6,89,4.2,1
25.2,16.2,110,4.3,10.3,86,0,0
22.4,17.6,78,7.2,2.1,84,1.4,1
23.8,18,74,11.2,4.9,71,0,0
23.8,17.2,64,11.2,7.1,85,0.2,1
24.1,15.2,96,6.1,5.9,82,0,0
25.4,18,74,11.5,7.6,75,0.2,1
25,20.3,57,31.7,7.1,83,0.6,1
22.4,20.6,307,15.5,0,94,10.2,1
23.4,18.8,204,3.6,0.4,95,3.8,1
24.5,18.5,226,7.6,5.9,91,0,0
23.8,17.1,342,4,7.5,87,0,0
23.5,14.6,360,2.5,10.1,93,0,0
23.1,15.2,178,4.7,7,86,0,0
23.8,17.5,203,12.6,10.7,62,0,0
24.1,12.5,80,6.1,10.2,82,0,0
22,17.1,61,13.7,4.5,65,0,0
21.8,18.9,44,8.3,0,92,3.6,1
26.7,18.5,325,8.3,5.6,85,3,1
24.5,16.8,290,11.2,8.2,78,0,0
22.1,13.6,158,10.4,8.1,72,0,0
21.8,11,170,6.8,9.6,63,0,0
20.8,9.2,359,2.5,11,67,0,0
20.8,13.1,331,9,4,80,0,0
21.5,12.9,279,5,4,86,1,1
21.8,10.8,304,1.8,4,81,0,0
20,15.4,201,4.3,3.1,86,1.2,1
22.3,15.3,326,12.2,3,80,0,0
22.9,17.4,200,12.2,5.7,86,13.8,1
19.6,12.3,125,6.8,1.3,73,0,0
22.7,8.8,76,2.5,6.6,74,0,0
21.7,10.8,88,2.5,10.2,85,0,0
20.6,14,109,6.1,2.5,91,2.4,1
19.8,15.8,206,22,0.5,69,10.8,1
20.9,14.3,218,7.2,10.4,76,0,0
23.2,14,145,3.6,6.9,84,0,0
20.8,11.9,104,2.9,8,65,0,0
22.4,14.7,97,5.8,9.9,62,0,0
21.8,11.4,262,2.5,9.8,84,0,0
22.6,15.4,339,10.1,6,92,0.4,1
19,14.2,219,19.4,0.1,72,1,1
20.2,15.4,228,34.6,6.8,72,0,0
19.9,10.6,53,1.4,5.5,89,0,0
21.7,12.4,263,7.9,9.5,73,0,0
19.3,15.8,278,9.4,0.1,78,0,0
18.6,15.9,201,9.7,0,64,0,0
21.5,11.2,132,5,4.2,86,0,0
21,13.5,348,2.5,1.9,95,2,1
23,12.8,309,3.2,7.9,80,0,0
24.5,10.7,86,2.9,9.3,96,0,0
22.6,15.3,10,9.7,4,72,0,0
22.2,17.3,237,3.2,0.1,95,0.2,1
21.2,12.8,347,2.2,1.4,92,0,0
21.5,12.8,199,2.9,8.8,94,0,0
18.8,12,67,2.5,0,94,0,0
21.6,11.2,68,2.5,9.5,96,0,0
21.5,14.9,31,20.5,5.6,84,0,0
21.2,17.9,268,13.7,0,85,5.2,1
20.2,14.2,336,10.4,0.4,85,0,0
21.5,16.9,239,5.4,4,86,0,0
21.9,12.4,340,5,8.2,90,0.8,1
22,13.8,312,8.3,6.4,87,0,0
20.7,15.2,232,38.5,4.2,64,3.4,1
18.6,12.4,358,10.4,5.9,71,0,0
19.8,14.1,259,30.6,3.5,67,11.6,1
19.3,13.9,308,11.2,5.5,78,0.6,1
20.8,12.4,22,5.8,7.3,79,14.4,1
17.6,12.4,229,18.4,3,68,7,1
17.8,10,268,28.4,5.9,86,4.4,1
15.5,11,268,24.1,1,75,15.2,1
18,12.5,28,9.4,1.6,73,5.4,1
18.6,12,335,7.2,3.8,77,5.8,1
17.7,12.3,332,7.6,5.7,92,2.6,1
18.4,14.2,355,14.4,1.5,91,18.8,1
20.1,16.5,301,5,6.5,80,0,0
18.7,12.8,261,24.8,0.5,71,14.6,1
17.6,10.7,280,25.9,6,74,3.2,1
16.4,6.7,130,7.2,3.5,95,4.8,1
14.4,6.9,153,8.3,4.4,74,0,0
14.3,3.7,93,2.9,9.4,95,0,0
15.2,3,83,0.7,9.4,96,0,0
16.4,4.2,214,3.2,8.9,96,0,0
16,5,235,2.2,9.3,96,0,0
16.6,7.1,81,13,6.7,60,0,0
18.2,13.8,63,21.2,5.8,78,0,0
17.7,14.6,53,29.2,3,81,0,0
18.7,16.3,11,14,0,96,7.4,1
20,12.9,313,3.2,0.2,95,1.4,1
18.4,12,357,4,5.5,84,0,0
17.7,11,189,13,0.1,69,1,1
14.5,6.2,82,4.3,8.7,95,0,0
16.2,9.5,304,8.6,4.2,95,1.4,1
16.9,7.5,360,3.6,6.2,95,0.4,1
16.8,7,112,4.3,4.4,95,0.2,1
16.8,7.8,338,6.1,6.7,96,0.4,1
14.5,10.9,215,14.8,1,70,0,0
16.8,7.1,21,1.8,3.2,97,0,0
18.1,10.5,56,6.1,6.3,89,0.2,1
17.4,14.6,20,22.3,0,92,3.2,1
17.5,15.9,335,10.1,0,85,28.4,1
17.4,13.2,260,20.5,1.4,78,8.4,1
17.5,9.6,55,14.4,7,91,3.2,1
16.4,12.4,336,14.8,0.4,82,8.4,1
16.6,9.8,330,25.6,2.6,92,8.6,1
16.8,12,336,7.9,1.3,85,12.8,1
17.9,11.5,102,9,5.9,93,6.2,1
14.4,10.2,196,5,1.3,97,48.6,1
15.6,5.2,139,5.8,0.4,78,2,1
12.8,0.8,61,2.9,9.3,96,0,0
14,1.1,68,4,9.3,95,0,0
14.7,4.8,224,4.7,8.7,94,0,0
17.3,4.6,69,2.5,9.4,97,0,0
17.2,6.1,139,3.6,5.7,97,0,0
13.7,8,72,14,1.1,79,0,0
15.4,13.2,152,6.5,0,94,22.4,1
16.7,10.4,147,13.3,2.4,67,0,0
13.5,7.9,143,15.5,0.3,74,0,0
14.2,7.9,153,14,2.7,71,0,0
14.4,5.7,215,5,5.5,82,0,0
15.2,3.6,194,5,6.1,95,0,0
15.5,6.4,284,20.9,2,80,18,1
16.5,10.4,267,26.6,7.1,75,3.8,1
16.8,9.8,238,25.2,4.2,78,12.2,1
14.5,11.1,248,36.4,6.7,75,0.4,1
16,10.2,219,24.1,5.6,80,6.8,1
15.3,10.9,255,21.6,4.5,85,1,1
16,11.8,242,49,2.8,79,5.8,1
15,11.3,240,38.2,5.9,80,0.6,1
14.7,9.5,72,4.3,2.5,87,0.2,1
15.7,10.1,42,11.5,2.1,90,18.2,1
18.8,14.7,283,34.6,1.5,73,12.6,1
16.9,11.4,256,27,6.9,71,0.4,1
17.2,9.3,337,5.4,5.4,93,20.2,1
17.4,9,339,11.2,5.4,89,0.2,1
17.2,11.8,18,13.7,3.5,84,1.4,1
16.1,11.2,276,45.7,2.2,84,13.8,1
16,10.7,317,10.1,5.7,75,0.8,1
16.6,9.2,271,23.4,3.7,80,7.6,1
14.1,9.2,338,8.3,4.9,85,6.2,1
14.9,9.6,227,28.4,2.7,82,8.6,1
